순번,가맹점,조식,중식,석식,음식점 종류,네이버 지도 링크
30,죠샌드위치(강동역익스프레스점),O,O,X,양식,https://map.naver.com/p/search/%EC%A3%A0%EC%83%8C%EB%93%9C%EC%9C%84%EC%B9%98%28%EA%B0%95%EB%8F%99%EC%97%AD%EC%9D%B5%EC%8A%A4%ED%94%84%EB%A0%88%EC%8A%A4%EC%A0%90%29
31,청담동마녀김밥(강동점),O,O,X,한식,https://map.naver.com/p/search/%EC%B2%AD%EB%8B%B4%EB%8F%99%EB%A7%88%EB%85%80%EA%B9%80%EB%B0%A5%28%EA%B0%95%EB%8F%99%EC%A0%90%29
32,치코스,O,O,X,기타,https://map.naver.com/p/search/%EC%B9%98%EC%BD%94%EC%8A%A4
33,카페63도,O,O,X,카페/디저트,https://map.naver.com/p/search/%EC%B9%B4%ED%8E%9863%EB%8F%84
34,코코플랑,O,O,X,기타,https://map.naver.com/p/search/%EC%BD%94%EC%BD%94%ED%94%8C%EB%9E%91
35,투썸플레이스(강동역점),O,O,X,기타,https://map.naver.com/p/search/%ED%88%AC%EC%8D%B8%ED%94%8C%EB%A0%88%EC%9D%B4%EC%8A%A4%28%EA%B0%95%EB%8F%99%EC%97%AD%EC%A0%90%29
36,파리바게뜨(강동성내점),O,O,X,카페/디저트,https://map.naver.com/p/search/%ED%8C%8C%EB%A6%AC%EB%B0%94%EA%B2%8C%EB%9C%A8%28%EA%B0%95%EB%8F%99%EC%84%B1%EB%82%B4%EC%A0%90%29
37,파리바게뜨(강동역점),O,O,X,카페/디저트,https://map.naver.com/p/search/%ED%8C%8C%EB%A6%AC%EB%B0%94%EA%B2%8C%EB%9C%A8%28%EA%B0%95%EB%8F%99%EC%97%AD%EC%A0%90%29
38,강남교자(강동역점),X,O,O,기타,https://map.naver.com/p/search/%EA%B0%95%EB%82%A8%EA%B5%90%EC%9E%90%28%EA%B0%95%EB%8F%99%EC%97%AD%EC%A0%90%29
39,강동면옥(강동점),X,O,O,한식,https://map.naver.com/p/search/%EA%B0%95%EB%8F%99%EB%A9%B4%EC%98%A5%28%EA%B0%95%EB%8F%99%EC%A0%90%29
